WR,Group,Avg_Ratio
1000,N100,1.1953588981699363
1000,WR-100,1.202046749567653
1000,WR/2,1.2138643067846608
1500,N100,1.2247197855017469
1500,WR-100,1.2357535938383852
2000,N100,1.2505942667125045
2000,WR-100,1.2729026909182786
2000,WR/2,1.2737688932228182
2500,N100,1.2852503348751985
2500,WR-100,1.3046776454969156
3000,N100,1.310973592393662
3000,WR-100,1.3306343727330503
3000,WR/2,1.3381469831283956
3500,N100,1.3494307978656224
3500,WR-100,1.357299230746932
4000,N100,1.3525095426161797
4000,WR-100,1.3637975713241888
4000,WR/2,1.3755057006252298
4500,N100,1.3613603481923109
4500,WR-100,1.359819776559359
5000,N100,1.3501376684480337
5000,WR-100,1.3625721515068892
5000,WR/2,1.366357804704205
5500,N100,1.349771796181472
5500,WR-100,1.369960421312763
6000,N100,1.3607888339542293
6000,WR-100,1.3881938734672938
6000,WR/2,1.4025194961007796
6500,N100,1.3813365547900003
6500,WR-100,1.4189507070056346
