LO_Filename,LO_CrossSection,LO_Error,NLO_Filename,NLO_CrossSection,NLO_Error,Row_NLO/LO_Ratio
../submit_files/condorfiles/LO/result_WR1500_N600/WRtoNLtoLLJJ_WR1500_N600.log,0.413,0.00548,../submit_files/condorfiles/NLO/result_WR1500_N600_NLO/WRtoNLtoLLJJ_WR1500_N600_NLO.log,0.5062,0.00043,1.2256658595641647
../submit_files/condorfiles/LO/result_WR1500_N700/WRtoNLtoLLJJ_WR1500_N700.log,0.3658,0.0038,../submit_files/condorfiles/NLO/result_WR1500_N700_NLO/WRtoNLtoLLJJ_WR1500_N700_NLO.log,0.4571,0.00039,1.2495899398578458
../submit_files/condorfiles/LO/result_WR1500_N800/WRtoNLtoLLJJ_WR1500_N800.log,0.328,0.003959,../submit_files/condorfiles/NLO/result_WR1500_N800_NLO/WRtoNLtoLLJJ_WR1500_N800_NLO.log,0.4017,0.00033,1.2246951219512194
../submit_files/condorfiles/LO/result_WR1500_N900/WRtoNLtoLLJJ_WR1500_N900.log,0.2767,0.003208,../submit_files/condorfiles/NLO/result_WR1500_N900_NLO/WRtoNLtoLLJJ_WR1500_N900_NLO.log,0.3397,0.00029,1.2276834116371522
../submit_files/condorfiles/LO/result_WR1500_N1000/WRtoNLtoLLJJ_WR1500_N1000.log,0.2192,0.001574,../submit_files/condorfiles/NLO/result_WR1500_N1000_NLO/WRtoNLtoLLJJ_WR1500_N1000_NLO.log,0.2719,0.00022,1.240419708029197
../submit_files/condorfiles/LO/result_WR1500_N1100/WRtoNLtoLLJJ_WR1500_N1100.log,0.1635,0.001739,../submit_files/condorfiles/NLO/result_WR1500_N1100_NLO/WRtoNLtoLLJJ_WR1500_N1100_NLO.log,0.2012,0.00018,1.2305810397553516
../submit_files/condorfiles/LO/result_WR1500_N1200/WRtoNLtoLLJJ_WR1500_N1200.log,0.1062,0.0008766,../submit_files/condorfiles/NLO/result_WR1500_N1200_NLO/WRtoNLtoLLJJ_WR1500_N1200_NLO.log,0.1312,0.00011,1.2354048964218456
../submit_files/condorfiles/LO/result_WR1500_N1300/WRtoNLtoLLJJ_WR1500_N1300.log,0.05508,0.0003502,../submit_files/condorfiles/NLO/result_WR1500_N1300_NLO/WRtoNLtoLLJJ_WR1500_N1300_NLO.log,0.06869,5.8e-05,1.2470951343500365
../submit_files/condorfiles/LO/result_WR1500_N1400/WRtoNLtoLLJJ_WR1500_N1400.log,0.01829,0.0001858,../submit_files/condorfiles/NLO/result_WR1500_N1400_NLO/WRtoNLtoLLJJ_WR1500_N1400_NLO.log,0.02276,2e-05,1.2443958447238928
../submit_files/condorfiles/LO/result_WR2000_N100/WRtoNLtoLLJJ_WR2000_N100.log,0.1291,0.001367,../submit_files/condorfiles/NLO/result_WR2000_N100_NLO/WRtoNLtoLLJJ_WR2000_N100_NLO.log,0.162,0.00016,1.2548412083656082
